DSPAWN,DSTART,TIME,TANK_ID,AQUARIA_ID,TILE_ID,COLUMN_NO,ROW_NO,COLUMN_UNIQUE,ROW_UNIQUE,DENSITY,GENUS,SPECIES,ADULT,REP_AQUARIA,REP_TILE,SETTLE_PHOTO,SETTLE_COUNT,OBSERVER,TOOL,SETTLE_TISSUE,SETTLE_S,SETTLE_D,SETTLE_P,SETTLE_DEN,STP1_COUNT,STP1_OBSERVER,STP1_TOOL,STP1_DEAD,STP1_S,STP1_D,STP1_P,TREAT_STP1_P,STP1_DEN,STP2_OBSERVER,TOOL,STP2_DEAD,STP2_S,STP2_D,SET_STP2_D,STP2_P,STP2_DEN,SET_STP2_P,TREAT_STP2_P
12-Apr-17,18-Apr-17,4-5pm,TANK1,1,1,1,1,1,1,10,Acropora,Acropora_digitifera,PRESENT,A1,T1,22-Apr-17,25-Apr-17,John,Dinoscope,yes,7,3,0.7,0.102,30-Apr-17,Sun,Dinoscope,yes,6,1,0.86,0.6,0.087,Kelly,Disecting,yes,6,0,1,1,0.09,0.86,0.6
12-Apr-17,18-Apr-17,4-5pm,TANK1,1,2,1,2,1,2,50,Acropora,Acropora_digitifera,PRESENT,A1,T1,22-Apr-17,25-Apr-17,John,Dinoscope,yes,23,27,0.46,0.335,30-Apr-17,Sun,Dinoscope,yes,23,0,1,0.46,0.335,Kelly,Disecting,yes,21,2,2,0.91,0.31,0.91,0.42
12-Apr-17,18-Apr-17,4-5pm,TANK1,1,3,1,3,1,3,100,Acropora,Acropora_digitifera,PRESENT,A1,T1,22-Apr-17,25-Apr-17,John,Dinoscope,yes,17,83,0.17,0.248,30-Apr-17,Sun,Dinoscope,yes,16,1,0.94,0.16,0.233,Kelly,Disecting,yes,8,8,9,0.5,0.12,0.47,0.08
12-Apr-17,18-Apr-17,4-5pm,TANK1,1,4,1,4,1,4,200,Acropora,Acropora_digitifera,PRESENT,A1,T1,22-Apr-17,25-Apr-17,John,Dinoscope,yes,4,196,0.02,0.058,30-Apr-17,Sun,Dinoscope,yes,1,3,0.25,0.005,0.015,Kelly,Disecting,yes,1,0,3,1,0.01,0.25,0.005
12-Apr-17,18-Apr-17,4-5pm,TANK1,1,5,2,1,2,1,50,Acropora,Acropora_digitifera,PRESENT,A1,T2,22-Apr-17,26-Apr-17,John,Dinoscope,yes,19,31,0.38,0.277,30-Apr-17,Sun,Dinoscope,yes,17,2,0.89,0.34,0.248,Kelly,Disecting,yes,15,2,4,0.88,0.22,0.79,0.3
12-Apr-17,18-Apr-17,4-5pm,TANK1,1,6,2,2,2,2,10,Acropora,Acropora_digitifera,PRESENT,A1,T2,22-Apr-17,26-Apr-17,John,Dinoscope,yes,4,6,0.4,0.058,30-Apr-17,Sun,Dinoscope,yes,2,2,0.5,0.2,0.029,Kelly,Disecting,yes,2,0,2,1,0.03,0.5,0.2
12-Apr-17,18-Apr-17,4-5pm,TANK1,1,7,2,3,2,3,200,Acropora,Acropora_digitifera,PRESENT,A1,T2,22-Apr-17,26-Apr-17,John,Dinoscope,yes,19,181,0.095,0.277,30-Apr-17,Sun,Dinoscope,yes,16,3,0.84,0.08,0.233,Kelly,Disecting,yes,6,10,13,0.38,0.09,0.32,0.03
12-Apr-17,18-Apr-17,4-5pm,TANK1,1,8,2,4,2,4,100,Acropora,Acropora_digitifera,PRESENT,A1,T2,22-Apr-17,26-Apr-17,John,Dinoscope,yes,1,99,0.01,0.015,30-Apr-17,Sun,Dinoscope,yes,1,0,1,0.01,0.015,Kelly,Disecting,yes,0,1,1,0,0,0,0
12-Apr-17,18-Apr-17,4-5pm,TANK1,1,9,3,1,3,1,100,Acropora,Acropora_digitifera,PRESENT,A1,T3,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,9,91,0.09,0.131,30-Apr-17,Sun,Dinoscope,yes,9,0,1,0.09,0.131,Kelly,Disecting,yes,5,4,4,0.56,0.07,0.56,0.05
12-Apr-17,18-Apr-17,4-5pm,TANK1,1,10,3,2,3,2,200,Acropora,Acropora_digitifera,PRESENT,A1,T3,22-Apr-17,26-Apr-17,John,Dinoscope,yes,5,195,0.025,0.073,30-Apr-17,Sun,Dinoscope,yes,3,2,0.6,0.015,0.044,Carrie,Disecting,yes,2,1,3,0.67,0.03,0.4,0.01
12-Apr-17,18-Apr-17,4-5pm,TANK1,1,11,3,3,3,3,10,Acropora,Acropora_digitifera,PRESENT,A1,T3,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,6,4,0.6,0.087,30-Apr-17,Sun,Dinoscope,yes,6,0,1,0.6,0.087,Carrie,Disecting,yes,2,4,4,0.33,0.03,0.33,0.2
12-Apr-17,18-Apr-17,4-5pm,TANK1,1,12,3,4,3,4,50,Acropora,Acropora_digitifera,PRESENT,A1,T3,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,22,28,0.44,0.32,30-Apr-17,Sun,Dinoscope,yes,19,3,0.86,0.38,0.277,Carrie,Disecting,yes,1,18,21,0.05,0.01,0.05,0.02
13-Apr-17,19-Apr-17,12-1pm,TANK1,2,13,1,1,4,5,200,Acropora,Acropora_gemmifera,ABSENT,A1,T1,23-Apr-17,24-Apr-17,John,Dinoscope,no,14,186,0.07,0.204,30-Apr-17,Simo,Dinoscope,no,14,0,1,0.07,0.204,Carrie,Disecting,no,2,12,12,0.14,0.03,0.14,0.01
13-Apr-17,19-Apr-17,12-1pm,TANK1,2,14,1,2,4,6,100,Acropora,Acropora_gemmifera,ABSENT,A1,T1,23-Apr-17,24-Apr-17,John,Dinoscope,no,16,84,0.16,0.233,30-Apr-17,Simo,Dinoscope,no,15,1,0.94,0.15,0.218,Carrie,Disecting,no,8,7,8,0.53,0.12,0.5,0.08
13-Apr-17,19-Apr-17,12-1pm,TANK1,2,15,1,3,4,7,10,Acropora,Acropora_gemmifera,ABSENT,A1,T1,23-Apr-17,24-Apr-17,John,Dinoscope,no,3,7,0.3,0.044,30-Apr-17,Simo,Dinoscope,no,1,2,0.33,0.1,0.015,Carrie,Disecting,no,1,0,2,1,0.01,0.33,0.1
