DSPAWN,DSTART,TIME,TANK_ID,AQUARIA_ID,TILE_ID,COLUMN_NO,ROW_NO,COLUMN_UNIQUE,ROW_UNIQUE,DENSITY,GENUS,SPECIES,ADULT,REP_AQUARIA,REP_TILE,SETTLE_PHOTO,SETTLE_COUNT,OBSERVER,TOOL,SETTLE_TISSUE,SETTLE_S,SETTLE_D,SETTLE_P,SETTLE_DENSITY
12-Apr-17,18-Apr-17,4-5pm,t1,1,1,1,1,1,1,10,Acropora,Acropora_digitifera,present,A1,T1,22-Apr-17,25-Apr-17,John,Dinoscope,yes,7,3,0.7,0.102
12-Apr-17,18-Apr-17,4-5pm,t1,1,2,1,2,1,2,50,Acropora,Acropora_digitifera,present,A1,T1,22-Apr-17,25-Apr-17,John,Dinoscope,yes,23,27,0.46,0.335
12-Apr-17,18-Apr-17,4-5pm,t1,1,3,1,3,1,3,100,Acropora,Acropora_digitifera,present,A1,T1,22-Apr-17,25-Apr-17,John,Dinoscope,yes,17,83,0.17,0.248
12-Apr-17,18-Apr-17,4-5pm,t1,1,4,1,4,1,4,200,Acropora,Acropora_digitifera,present,A1,T1,22-Apr-17,25-Apr-17,John,Dinoscope,yes,4,196,0.02,0.058
12-Apr-17,18-Apr-17,4-5pm,t1,1,5,2,1,2,1,50,Acropora,Acropora_digitifera,present,A1,T2,22-Apr-17,26-Apr-17,John,Dinoscope,yes,19,31,0.38,0.277
12-Apr-17,18-Apr-17,4-5pm,t1,1,6,2,2,2,2,10,Acropora,Acropora_digitifera,present,A1,T2,22-Apr-17,26-Apr-17,John,Dinoscope,yes,4,6,0.4,0.058
12-Apr-17,18-Apr-17,4-5pm,t1,1,7,2,3,2,3,200,Acropora,Acropora_digitifera,present,A1,T2,22-Apr-17,26-Apr-17,John,Dinoscope,yes,19,181,0.095,0.277
12-Apr-17,18-Apr-17,4-5pm,t1,1,8,2,4,2,4,100,Acropora,Acropora_digitifera,present,A1,T2,22-Apr-17,26-Apr-17,John,Dinoscope,yes,1,99,0.01,0.015
12-Apr-17,18-Apr-17,4-5pm,t1,1,9,3,1,3,1,100,Acropora,Acropora_digitifera,present,A1,T3,22-Apr-17,26-Apr-17,Sun,Dinoscope,yes,9,91,0.09,0.131
12-Apr-17,18-Apr-17,4-5pm,t1,1,10,3,2,3,2,200,Acropora,Acropora_digitifera,present,A1,T3,22-Apr-17,26-Apr-17,John,Dinoscope,yes,5,195,0.025,0.073
